student_id,department,year,subject,month1_marks,month2_marks,month3_marks,model_marks,practicals_marks
6,MATH,1,Discrete Math,75.74,45.69,62.11,85.09,88.99
7,EEE,1,Machines,46.5,40.0,79.17,64.61,62.72
7,EEE,1,Circuits,40.71,69.72,86.81,97.67,78.29
7,EEE,1,Power Systems,68.3,44.68,70.19,65.9,80.36
7,EEE,1,Control,61.38,53.22,45.22,62.32,54.83
7,EEE,1,Measurements,49.73,94.3,64.43,74.25,93.68
8,EEE,3,Machines,94.76,72.05,84.69,62.98,65.29
8,EEE,3,Circuits,62.15,76.99,77.52,62.34,56.66
8,EEE,3,Power Systems,74.78,47.06,71.82,83.14,85.03
8,EEE,3,Control,81.44,88.01,67.5,85.16,80.96
8,EEE,3,Measurements,50.27,41.41,55.65,69.37,80.86
9,ECE,4,Circuits,86.75,50.79,46.91,97.99,55.4
9,ECE,4,Electronics,66.32,72.21,69.78,49.73,52.85
9,ECE,4,Signals,45.8,72.21,69.94,57.86,81.89
9,ECE,4,Communication,85.1,42.29,67.4,82.91,62.62
9,ECE,4,Microprocessors,56.93,73.75,89.39,89.55,79.16
10,BIO,2,Biology,80.16,60.07,75.25,70.64,59.5
10,BIO,2,Genetics,78.6,70.61,59.72,95.12,51.05
10,BIO,2,Biochemistry,57.37,43.13,82.16,83.62,66.57
10,BIO,2,Microbiology,77.16,61.78,81.59,69.98,70.61
10,BIO,2,Biotechnology,91.41,53.8,46.62,77.15,98.47
11,CIVIL,3,Surveying,60.78,43.41,58.66,72.83,58.1
11,CIVIL,3,Structures,76.2,94.88,64.85,64.51,70.04
11,CIVIL,3,Concrete,46.33,88.58,62.82,66.3,82.98
11,CIVIL,3,Hydraulics,64.31,75.65,43.38,89.75,97.03
11,CIVIL,3,Construction,75.68,92.5,48.33,71.26,80.09
12,CHEM,2,Organic,72.0,62.08,58.59,51.98,69.59
12,CHEM,2,Inorganic,48.95,80.39,51.49,48.22,77.62
12,CHEM,2,Physical,72.74,87.96,71.73,64.0,90.15
12,CHEM,2,Analytical,69.72,44.36,71.12,94.94,69.82
12,CHEM,2,Industrial Chemistry,56.3,47.89,48.33,68.8,79.78
13,CSE,3,Programming,44.43,91.68,81.53,77.26,91.42
13,CSE,3,Data Structures,44.41,66.23,74.66,90.58,89.17
13,CSE,3,DBMS,55.24,91.75,46.84,93.13,98.55
13,CSE,3,Networks,49.74,79.71,42.22,67.3,75.81
13,CSE,3,OS,71.94,91.48,76.97,71.47,90.48
14,MATH,3,Algebra,92.28,41.21,94.04,49.74,90.72
14,MATH,3,Calculus,55.42,47.27,64.19,80.42,69.05
14,MATH,3,Statistics,43.0,72.97,89.63,66.08,60.82
14,MATH,3,Probability,64.34,42.66,85.13,90.45,79.4
14,MATH,3,Discrete Math,59.42,83.99,70.51,90.43,81.57
15,CIVIL,1,Surveying,83.14,72.92,62.78,97.69,77.06
15,CIVIL,1,Structures,73.28,52.13,74.41,76.44,59.24
15,CIVIL,1,Concrete,43.28,73.24,82.0,73.79,61.34
15,CIVIL,1,Hydraulics,76.66,44.41,64.3,53.99,59.22
15,CIVIL,1,Construction,51.13,61.27,42.81,66.88,75.59
16,MECH,2,Thermodynamics,66.58,61.05,86.15,52.99,75.28
16,MECH,2,Manufacturing,43.41,43.91,71.56,76.13,93.9
16,MECH,2,Mechanics,70.68,92.79,42.68,50.39,52.2
16,MECH,2,CAD,50.19,69.77,75.51,47.51,97.3
16,MECH,2,Fluid Dynamics,86.32,56.31,44.25,54.34,56.35
17,EEE,1,Machines,46.78,68.52,53.52,64.7,99.48
17,EEE,1,Circuits,77.64,92.19,47.84,66.02,77.74
17,EEE,1,Power Systems,44.22,40.23,76.87,80.3,70.54
17,EEE,1,Control,66.93,62.85,41.32,63.45,58.85
17,EEE,1,Measurements,45.41,92.62,72.96,85.08,65.77
18,CSE,4,Programming,61.62,53.03,45.33,54.85,89.88
18,CSE,4,Data Structures,77.27,70.08,66.13,95.73,53.64
18,CSE,4,DBMS,55.43,59.25,83.03,99.59,62.03
18,CSE,4,Networks,88.09,85.68,52.36,66.96,70.48
18,CSE,4,OS,93.8,49.95,83.95,63.38,86.54
19,CHEM,2,Organic,63.1,71.81,85.79,89.23,93.32
19,CHEM,2,Inorganic,43.28,78.06,47.7,67.87,77.43
19,CHEM,2,Physical,62.15,68.58,94.81,52.44,83.77
19,CHEM,2,Analytical,61.78,47.32,48.73,97.21,93.98
19,CHEM,2,Industrial Chemistry,89.89,94.53,51.46,64.55,83.46
20,BIO,1,Biology,66.61,63.01,59.68,77.66,78.78
20,BIO,1,Genetics,48.88,65.95,70.44,76.37,60.51
20,BIO,1,Biochemistry,80.82,41.39,59.52,87.91,78.19
20,BIO,1,Microbiology,54.36,78.22,71.21,88.79,86.75
20,BIO,1,Biotechnology,73.56,66.85,47.33,59.37,70.95
21,MATH,2,Algebra,72.96,68.25,55.85,45.36,74.81
21,MATH,2,Calculus,55.71,80.4,41.32,77.17,97.07
21,MATH,2,Statistics,49.59,65.94,45.03,79.41,77.53
21,MATH,2,Probability,62.41,68.68,89.31,55.8,51.13
21,MATH,2,Discrete Math,87.39,71.74,88.99,77.83,90.51
22,CIVIL,2,Surveying,63.63,81.24,90.22,76.47,59.04
22,CIVIL,2,Structures,54.78,50.93,53.58,61.85,77.76
22,CIVIL,2,Concrete,72.34,63.46,73.85,49.49,54.39
22,CIVIL,2,Hydraulics,49.45,68.49,51.77,60.58,70.02
22,CIVIL,2,Construction,84.65,40.76,75.72,81.79,89.93
23,ECE,3,Circuits,91.3,41.11,48.46,93.74,72.93
23,ECE,3,Electronics,71.05,76.47,77.35,96.25,99.85
23,ECE,3,Signals,79.61,55.8,88.39,47.71,61.55
23,ECE,3,Communication,89.36,54.09,52.14,52.6,92.96
23,ECE,3,Microprocessors,67.5,77.12,53.15,86.69,88.0
24,CHEM,3,Organic,57.19,62.59,51.53,98.71,82.28
24,CHEM,3,Inorganic,91.4,56.69,83.0,87.12,84.58
24,CHEM,3,Physical,93.11,61.65,47.19,81.94,86.47
24,CHEM,3,Analytical,71.63,51.37,67.75,62.17,71.37
24,CHEM,3,Industrial Chemistry,75.49,80.99,52.77,67.29,63.46
25,CSE,4,Programming,50.92,83.09,90.01,65.36,87.56
25,CSE,4,Data Structures,89.33,86.54,50.05,97.6,68.83
25,CSE,4,DBMS,58.66,43.43,66.74,51.0,62.43
25,CSE,4,Networks,57.43,84.49,88.15,61.64,92.93
25,CSE,4,OS,87.15,82.06,48.07,82.97,97.25
26,ECE,4,Circuits,77.54,58.24,67.53,80.51,75.53
26,ECE,4,Electronics,46.6,57.16,84.13,92.38,56.87
26,ECE,4,Signals,92.38,58.09,76.43,86.35,90.6
26,ECE,4,Communication,92.02,57.21,87.22,52.24,85.25
26,ECE,4,Microprocessors,80.81,77.27,53.88,93.02,58.44
27,CIVIL,4,Surveying,42.95,79.46,66.15,91.7,69.17
27,CIVIL,4,Structures,49.26,86.0,70.19,55.41,86.02
27,CIVIL,4,Concrete,68.11,73.24,65.35,90.58,91.48
27,CIVIL,4,Hydraulics,79.02,45.8,86.14,81.91,84.85
27,CIVIL,4,Construction,59.96,88.36,79.9,51.19,70.39
28,ECE,4,Circuits,88.75,42.6,92.88,82.35,81.57
28,ECE,4,Electronics,54.88,53.68,91.81,61.4,88.78
28,ECE,4,Signals,61.62,47.66,40.59,74.93,98.79
28,ECE,4,Communication,60.3,59.65,58.93,73.63,72.03
28,ECE,4,Microprocessors,88.4,67.8,67.93,52.61,99.14
29,MECH,4,Thermodynamics,53.75,44.04,76.47,77.75,70.76
29,MECH,4,Manufacturing,63.22,83.18,50.76,90.11,82.44
29,MECH,4,Mechanics,63.04,65.19,54.12,86.37,75.64
29,MECH,4,CAD,57.65,72.78,94.77,68.94,96.03
29,MECH,4,Fluid Dynamics,58.98,43.01,51.23,68.03,60.98
30,MATH,1,Algebra,40.01,90.33,86.41,85.83,58.39
30,MATH,1,Calculus,46.62,43.72,79.82,96.08,71.53
30,MATH,1,Statistics,46.55,68.18,59.19,65.62,81.07
30,MATH,1,Probability,79.53,46.08,41.96,99.69,61.64
30,MATH,1,Discrete Math,42.96,50.44,42.14,66.55,90.12
31,BIO,2,Biology,58.77,64.43,77.16,72.99,93.07
31,BIO,2,Genetics,87.63,40.55,82.79,70.34,99.44
31,BIO,2,Biochemistry,66.58,94.28,81.5,58.67,76.92
31,BIO,2,Microbiology,94.57,87.16,45.36,83.85,67.28
31,BIO,2,Biotechnology,40.38,62.19,52.91,90.04,66.87
32,CHEM,4,Organic,85.51,40.03,56.93,58.26,61.68
32,CHEM,4,Inorganic,43.75,50.29,70.56,61.02,70.87
32,CHEM,4,Physical,60.73,88.17,89.79,72.11,66.51
32,CHEM,4,Analytical,45.87,92.44,43.31,61.37,64.9
32,CHEM,4,Industrial Chemistry,57.62,49.04,83.07,51.74,81.75
33,CSE,4,Programming,46.81,43.88,90.02,55.46,91.06
33,CSE,4,Data Structures,69.95,44.28,92.55,58.58,92.98
33,CSE,4,DBMS,49.28,86.97,40.73,73.15,88.47
33,CSE,4,Networks,91.41,90.01,85.08,93.85,59.96
33,CSE,4,OS,55.63,55.89,60.74,66.63,77.23
34,CHEM,1,Organic,48.79,78.02,49.22,62.07,75.17
34,CHEM,1,Inorganic,83.8,80.67,75.5,53.57,77.35
34,CHEM,1,Physical,44.81,60.75,62.74,47.19,63.7
34,CHEM,1,Analytical,92.56,92.45,59.38,47.37,58.95
34,CHEM,1,Industrial Chemistry,61.57,92.13,47.77,86.99,55.43
35,ECE,3,Circuits,93.97,60.99,82.64,63.84,81.38
35,ECE,3,Electronics,50.56,48.03,91.59,95.47,94.37
35,ECE,3,Signals,74.4,84.45,43.8,63.41,65.69
35,ECE,3,Communication,74.96,59.58,48.17,77.81,90.72
35,ECE,3,Microprocessors,61.02,47.27,50.82,58.06,64.99
36,MECH,1,Thermodynamics,75.35,73.05,78.28,64.94,91.2
36,MECH,1,Manufacturing,51.22,65.8,84.05,54.91,55.49
36,MECH,1,Mechanics,88.6,58.86,77.61,46.39,84.5
36,MECH,1,CAD,57.39,43.07,73.54,58.24,69.34
36,MECH,1,Fluid Dynamics,44.43,48.09,56.39,49.94,95.54
37,CHEM,1,Organic,40.33,66.61,46.78,61.92,96.3
37,CHEM,1,Inorganic,48.89,93.12,51.32,85.79,77.33
37,CHEM,1,Physical,88.65,70.47,69.4,55.75,58.31
37,CHEM,1,Analytical,90.41,58.03,60.46,86.79,66.94
37,CHEM,1,Industrial Chemistry,92.36,80.59,72.86,93.45,52.48
38,BIO,3,Biology,54.14,65.58,52.48,85.91,95.96
38,BIO,3,Genetics,63.31,58.82,92.89,69.47,74.45
38,BIO,3,Biochemistry,59.34,90.03,71.29,86.92,90.59
38,BIO,3,Microbiology,58.8,63.85,86.67,64.98,89.7
38,BIO,3,Biotechnology,91.75,74.28,80.79,89.28,92.25
39,ECE,1,Circuits,61.73,42.82,62.1,82.06,72.52
39,ECE,1,Electronics,81.19,59.63,74.91,55.25,87.47
39,ECE,1,Signals,70.01,51.22,56.06,86.17,74.13
39,ECE,1,Communication,51.88,93.2,79.33,97.64,71.36
39,ECE,1,Microprocessors,66.13,89.39,68.88,83.9,62.61
40,CIVIL,2,Surveying,64.57,46.79,51.33,45.05,51.96
40,CIVIL,2,Structures,93.75,53.33,76.48,91.15,77.53
40,CIVIL,2,Concrete,48.42,80.05,73.01,85.22,88.49
40,CIVIL,2,Hydraulics,93.65,71.55,58.79,80.67,53.42
40,CIVIL,2,Construction,89.36,46.57,58.03,89.87,79.87
41,CSE,1,Programming,61.65,66.04,87.0,63.7,93.48
41,CSE,1,Data Structures,44.85,82.72,86.62,55.0,71.52
41,CSE,1,DBMS,49.1,78.86,69.44,79.94,59.82
41,CSE,1,Networks,51.65,42.28,57.71,75.79,92.9
41,CSE,1,OS,76.68,63.95,92.42,84.56,96.51
42,MECH,3,Thermodynamics,69.02,54.24,42.91,84.93,56.07
42,MECH,3,Manufacturing,56.65,69.29,71.04,78.03,58.31
42,MECH,3,Mechanics,60.89,73.95,93.34,85.02,96.13
42,MECH,3,CAD,81.92,72.54,50.56,81.67,81.17
42,MECH,3,Fluid Dynamics,73.14,66.94,69.08,63.39,75.97
43,BIO,4,Biology,50.87,84.28,50.22,49.67,71.81
43,BIO,4,Genetics,76.21,64.07,55.22,75.7,67.35
43,BIO,4,Biochemistry,91.31,90.75,67.63,63.03,86.86
43,BIO,4,Microbiology,42.02,66.11,58.5,95.63,50.6
43,BIO,4,Biotechnology,70.4,80.74,66.68,49.7,98.62
44,EEE,3,Machines,68.49,73.78,53.01,71.59,71.46
44,EEE,3,Circuits,44.12,45.84,86.06,58.19,59.75
44,EEE,3,Power Systems,67.77,82.28,43.41,76.72,55.96
44,EEE,3,Control,42.01,42.9,85.88,51.49,52.26
44,EEE,3,Measurements,64.08,86.42,54.43,68.19,52.0
45,EEE,3,Machines,64.7,71.77,71.4,63.28,65.78
45,EEE,3,Circuits,45.86,60.17,45.47,87.16,98.31
45,EEE,3,Power Systems,93.35,87.58,73.04,83.55,64.26
45,EEE,3,Control,74.69,65.06,66.51,86.68,64.1
45,EEE,3,Measurements,57.49,90.86,43.09,71.71,95.64
46,CIVIL,3,Surveying,73.57,70.05,53.74,63.88,92.6
46,CIVIL,3,Structures,70.76,68.31,45.48,45.88,98.18
46,CIVIL,3,Concrete,60.73,73.18,44.38,82.57,96.63
46,CIVIL,3,Hydraulics,71.66,46.94,71.99,87.15,70.32
46,CIVIL,3,Construction,88.39,75.68,89.46,79.29,56.56
47,CHEM,2,Organic,57.03,51.1,89.99,86.82,83.82
47,CHEM,2,Inorganic,56.55,50.12,81.6,71.08,61.29
47,CHEM,2,Physical,73.91,42.22,57.94,70.77,57.4
47,CHEM,2,Analytical,94.16,51.5,47.17,56.19,88.45
47,CHEM,2,Industrial Chemistry,63.4,71.1,41.16,46.89,72.29
48,MECH,2,Thermodynamics,84.92,88.69,44.77,74.61,95.66
48,MECH,2,Manufacturing,61.34,85.63,47.35,96.45,87.57
48,MECH,2,Mechanics,91.77,77.21,59.99,96.6,63.78
48,MECH,2,CAD,58.27,78.54,82.09,96.12,60.24
48,MECH,2,Fluid Dynamics,83.89,80.62,43.51,66.3,64.14
49,CSE,1,Programming,56.75,94.06,75.35,84.47,98.83
49,CSE,1,Data Structures,60.75,84.1,63.9,92.82,59.03
49,CSE,1,DBMS,92.12,52.03,57.94,86.59,69.69
49,CSE,1,Networks,73.45,64.45,80.83,57.56,52.92
49,CSE,1,OS,56.5,66.09,49.24,64.51,70.0
50,EEE,1,Machines,43.16,72.08,88.64,53.35,79.89
50,EEE,1,Circuits,76.56,63.06,78.56,67.59,75.23
50,EEE,1,Power Systems,40.4,78.04,76.37,47.11,68.41
50,EEE,1,Control,93.85,63.14,67.61,95.05,85.86
50,EEE,1,Measurements,72.01,83.88,87.54,70.13,73.76
51,CIVIL,2,Surveying,61.23,93.17,78.34,49.58,93.15
51,CIVIL,2,Structures,66.43,43.78,70.23,67.94,93.89
51,CIVIL,2,Concrete,51.22,85.46,70.67,48.0,98.59
51,CIVIL,2,Hydraulics,68.19,56.0,65.82,92.18,65.25
51,CIVIL,2,Construction,50.6,47.1,56.38,87.9,73.58
52,CIVIL,1,Surveying,52.51,49.14,58.3,96.7,67.15
52,CIVIL,1,Structures,94.35,66.69,49.85,94.01,73.02
52,CIVIL,1,Concrete,79.03,94.1,42.76,50.32,86.02
52,CIVIL,1,Hydraulics,55.5,50.14,42.16,46.2,88.72
52,CIVIL,1,Construction,47.39,65.72,73.32,68.56,51.36
53,MECH,1,Thermodynamics,83.09,40.58,81.9,94.13,71.64
53,MECH,1,Manufacturing,69.45,66.23,61.41,93.81,94.7
53,MECH,1,Mechanics,58.47,73.83,90.98,97.91,75.45
53,MECH,1,CAD,64.91,55.33,92.74,52.85,78.99
53,MECH,1,Fluid Dynamics,55.54,55.35,62.27,99.93,52.75
54,CHEM,3,Organic,71.82,44.54,48.5,69.18,75.52
54,CHEM,3,Inorganic,54.23,57.41,44.78,61.68,98.33
54,CHEM,3,Physical,91.96,58.42,71.4,95.03,50.31
54,CHEM,3,Analytical,84.59,92.16,45.02,53.88,98.04
54,CHEM,3,Industrial Chemistry,69.56,40.78,54.17,69.75,84.65
55,CHEM,3,Organic,80.32,94.75,55.81,74.6,76.67
55,CHEM,3,Inorganic,62.31,49.3,93.76,91.93,74.92
55,CHEM,3,Physical,73.18,52.5,69.91,83.22,75.76
55,CHEM,3,Analytical,94.47,73.62,60.4,87.47,58.52
55,CHEM,3,Industrial Chemistry,61.15,59.08,63.75,88.0,74.21
56,CIVIL,4,Surveying,83.67,71.71,58.81,89.55,61.91
56,CIVIL,4,Structures,52.34,67.75,54.35,45.5,82.41
56,CIVIL,4,Concrete,68.11,64.5,93.18,76.42,93.17
56,CIVIL,4,Hydraulics,47.67,71.31,87.74,77.07,85.9
56,CIVIL,4,Construction,60.46,45.08,65.18,66.7,93.35
57,ECE,3,Circuits,53.42,93.17,92.7,58.62,67.4
57,ECE,3,Electronics,89.26,93.16,64.39,62.65,76.3
57,ECE,3,Signals,77.83,55.04,80.51,47.84,52.46
57,ECE,3,Communication,61.25,59.44,57.36,72.01,66.04
57,ECE,3,Microprocessors,50.57,57.02,93.62,67.61,72.24
58,CHEM,2,Organic,71.71,94.08,53.29,82.47,85.8
58,CHEM,2,Inorganic,73.4,44.87,77.23,48.53,79.81
58,CHEM,2,Physical,80.68,51.6,86.29,46.67,92.19
58,CHEM,2,Analytical,65.32,51.97,47.36,97.43,53.63
58,CHEM,2,Industrial Chemistry,50.95,59.13,74.11,74.96,56.28
59,BIO,2,Biology,55.94,53.13,51.74,67.61,85.2
59,BIO,2,Genetics,51.96,60.17,61.5,98.71,97.73
59,BIO,2,Biochemistry,84.01,53.29,43.74,62.43,63.34
59,BIO,2,Microbiology,67.83,82.78,87.21,91.47,67.98
59,BIO,2,Biotechnology,77.8,57.21,43.35,83.59,50.49
60,MECH,3,Thermodynamics,62.51,58.12,78.14,87.14,65.2
60,MECH,3,Manufacturing,84.64,56.17,64.55,84.99,84.65
60,MECH,3,Mechanics,94.31,52.38,76.43,78.53,95.75
60,MECH,3,CAD,48.6,81.35,71.25,60.11,73.72
60,MECH,3,Fluid Dynamics,58.36,71.86,88.9,76.31,81.59
61,CSE,4,Programming,68.53,42.81,52.81,72.06,65.51
61,CSE,4,Data Structures,50.0,67.73,57.75,59.2,73.2
61,CSE,4,DBMS,47.33,91.03,87.72,83.92,55.31
61,CSE,4,Networks,82.67,84.44,82.23,51.27,82.2
61,CSE,4,OS,85.89,71.75,75.55,70.21,76.44
62,EEE,2,Machines,41.89,75.14,44.48,68.93,64.63
62,EEE,2,Circuits,70.0,47.34,78.04,88.73,58.17
62,EEE,2,Power Systems,45.74,48.0,88.24,74.05,73.36
62,EEE,2,Control,45.87,75.73,87.74,90.55,81.3
62,EEE,2,Measurements,44.14,46.18,42.71,59.16,56.78
63,BIO,1,Biology,54.3,61.18,91.86,78.57,91.75
63,BIO,1,Genetics,79.07,46.19,80.48,60.13,81.96
63,BIO,1,Biochemistry,58.75,94.87,54.5,60.35,96.53
63,BIO,1,Microbiology,41.36,78.32,79.89,91.0,98.72
63,BIO,1,Biotechnology,93.66,43.59,85.2,80.55,82.37
64,EEE,3,Machines,47.06,75.76,94.04,95.15,71.96
64,EEE,3,Circuits,42.2,59.93,85.45,83.58,72.97
64,EEE,3,Power Systems,43.03,63.48,65.8,96.07,82.05
64,EEE,3,Control,57.14,68.89,43.63,98.49,68.0
64,EEE,3,Measurements,66.28,59.54,77.54,81.42,85.77
65,EEE,4,Machines,54.75,57.36,46.89,81.05,51.99
65,EEE,4,Circuits,72.87,87.83,89.0,69.7,72.97
65,EEE,4,Power Systems,44.23,76.89,85.17,58.46,71.07
65,EEE,4,Control,86.14,88.24,53.37,75.28,59.62
65,EEE,4,Measurements,45.6,90.11,85.13,86.8,52.44
66,ECE,2,Circuits,86.41,64.09,58.83,75.06,54.57
66,ECE,2,Electronics,81.62,72.03,50.26,55.35,59.21
66,ECE,2,Signals,43.14,72.33,86.22,45.96,52.45
66,ECE,2,Communication,71.5,85.07,57.97,64.23,79.82
66,ECE,2,Microprocessors,55.08,41.46,80.44,79.41,79.04
67,CIVIL,2,Surveying,80.79,77.14,51.32,64.39,56.31
67,CIVIL,2,Structures,47.14,77.19,87.22,97.95,81.42
67,CIVIL,2,Concrete,50.13,45.81,84.71,76.83,80.91
67,CIVIL,2,Hydraulics,82.98,78.68,85.9,48.09,87.38
67,CIVIL,2,Construction,86.8,55.74,75.22,62.28,97.9
68,CSE,3,Programming,41.84,71.89,49.16,84.17,58.79
68,CSE,3,Data Structures,52.95,67.19,90.32,56.64,57.21
68,CSE,3,DBMS,81.74,67.53,90.15,53.06,82.3
68,CSE,3,Networks,52.81,48.62,77.59,77.65,87.74
68,CSE,3,OS,57.02,64.64,62.3,99.12,64.61
69,ECE,1,Circuits,56.21,59.5,71.05,58.88,95.76
69,ECE,1,Electronics,54.61,89.27,45.69,81.11,95.35
69,ECE,1,Signals,49.28,93.26,64.91,97.01,83.84
69,ECE,1,Communication,56.59,50.36,56.71,50.12,57.19
69,ECE,1,Microprocessors,45.76,63.26,83.76,52.78,56.52
70,BIO,3,Biology,75.39,50.85,45.37,54.18,96.19
70,BIO,3,Genetics,85.18,59.47,76.07,74.55,83.86
70,BIO,3,Biochemistry,77.55,74.58,54.64,47.15,72.78
70,BIO,3,Microbiology,89.0,71.32,85.78,99.54,58.18
70,BIO,3,Biotechnology,78.05,77.09,93.9,99.21,84.33
71,CIVIL,4,Surveying,53.4,83.92,45.89,87.94,95.51
71,CIVIL,4,Structures,61.06,74.68,63.66,69.08,65.52
71,CIVIL,4,Concrete,81.92,91.49,91.74,54.61,93.74
71,CIVIL,4,Hydraulics,80.56,53.91,43.7,59.74,95.61
71,CIVIL,4,Construction,74.82,79.66,54.14,84.57,51.41
72,MECH,4,Thermodynamics,60.64,74.47,48.04,90.27,61.75
72,MECH,4,Manufacturing,75.88,62.29,72.78,50.91,50.85
72,MECH,4,Mechanics,90.03,54.83,85.08,99.96,60.57
72,MECH,4,CAD,54.58,76.46,93.1,95.37,75.14
72,MECH,4,Fluid Dynamics,83.73,47.47,93.76,98.04,58.19
73,CSE,3,Programming,56.47,45.51,54.94,89.88,68.92
73,CSE,3,Data Structures,44.86,58.82,93.98,79.63,70.81
73,CSE,3,DBMS,49.16,94.24,85.15,60.48,53.5
73,CSE,3,Networks,43.11,46.62,71.94,96.08,74.84
73,CSE,3,OS,86.36,64.52,78.97,85.25,58.7
74,MATH,4,Algebra,59.87,75.05,43.89,64.88,76.74
74,MATH,4,Calculus,94.79,66.1,84.88,68.76,89.82
74,MATH,4,Statistics,72.75,88.76,62.6,78.24,81.5
74,MATH,4,Probability,62.96,47.94,45.15,45.92,93.68
74,MATH,4,Discrete Math,53.01,51.63,80.48,62.6,75.3
75,ECE,4,Circuits,48.94,92.79,86.84,92.51,70.34
75,ECE,4,Electronics,81.93,47.91,40.47,46.1,79.33
75,ECE,4,Signals,65.05,68.49,40.41,68.25,85.9
75,ECE,4,Communication,64.35,80.27,52.82,89.72,79.42
75,ECE,4,Microprocessors,51.59,53.02,74.54,90.65,70.78
76,CSE,4,Programming,54.21,87.69,76.81,69.64,74.4
76,CSE,4,Data Structures,51.23,74.47,59.73,99.76,74.01
76,CSE,4,DBMS,66.72,71.12,90.42,89.04,72.56
76,CSE,4,Networks,79.53,72.24,67.08,55.58,73.2
76,CSE,4,OS,53.52,90.32,58.45,97.37,76.65
77,ECE,1,Circuits,74.73,69.86,47.12,65.67,54.96
77,ECE,1,Electronics,74.26,64.58,82.79,57.13,58.23
77,ECE,1,Signals,62.35,90.96,79.07,68.04,75.86
77,ECE,1,Communication,44.63,94.15,76.65,60.7,79.29
77,ECE,1,Microprocessors,46.02,93.12,49.61,80.64,62.27
78,MATH,3,Algebra,79.47,82.73,77.04,78.8,94.62
78,MATH,3,Calculus,44.32,58.2,53.66,99.34,69.47
78,MATH,3,Statistics,80.29,77.66,51.66,58.14,64.06
78,MATH,3,Probability,62.61,52.89,41.08,93.37,98.28
78,MATH,3,Discrete Math,58.79,58.62,40.39,82.41,91.27
79,CIVIL,1,Surveying,48.06,48.78,83.45,78.9,52.24
79,CIVIL,1,Structures,74.24,56.99,60.28,87.34,90.55
79,CIVIL,1,Concrete,62.02,92.09,62.36,87.45,74.19
79,CIVIL,1,Hydraulics,89.36,89.93,44.81,96.51,91.28
79,CIVIL,1,Construction,83.52,51.05,84.28,91.76,64.46
80,CHEM,1,Organic,92.37,42.74,48.25,74.57,78.79
80,CHEM,1,Inorganic,75.48,40.93,92.82,47.45,57.15
80,CHEM,1,Physical,40.77,71.18,91.27,81.63,91.13
80,CHEM,1,Analytical,40.73,69.81,65.28,72.44,53.61
80,CHEM,1,Industrial Chemistry,77.64,67.68,82.08,71.69,57.47
81,CSE,4,Programming,75.65,49.48,87.98,78.72,57.86
81,CSE,4,Data Structures,92.93,68.51,44.01,79.48,62.66
81,CSE,4,DBMS,84.2,84.98,93.84,72.6,72.75
81,CSE,4,Networks,81.44,47.29,70.08,75.04,54.47
81,CSE,4,OS,62.99,86.93,87.09,50.46,54.54
82,BIO,3,Biology,54.45,88.11,47.09,84.6,55.06
82,BIO,3,Genetics,74.27,59.58,83.39,57.85,81.96
82,BIO,3,Biochemistry,52.96,79.25,88.05,51.97,93.33
82,BIO,3,Microbiology,72.65,46.99,63.51,53.85,85.02
82,BIO,3,Biotechnology,81.74,45.82,67.84,89.8,96.81
83,MATH,2,Algebra,68.24,92.27,69.46,66.68,92.41
83,MATH,2,Calculus,67.11,65.95,66.97,91.57,91.6
