date,month,weekday,holiday_flag,special_event,time_slot_code,time_slot,item,category,qty_sold,price_inr,temp_c,weather_condition,promotion_flag,footfall,previous_day_qty
2025-01-21,1,1,0,None,2,Dinner,Chicken Rice,Meal,49,3920,28.2,Sunny,0,423,77
2025-01-22,1,2,0,None,0,Breakfast,Chicken Rice,Meal,13,1040,33.5,Cloudy,0,760,49
2025-01-22,1,2,0,None,1,Lunch,Chicken Rice,Meal,149,11920,33.5,Cloudy,0,760,13
2025-01-22,1,2,0,None,2,Dinner,Chicken Rice,Meal,87,6960,33.5,Cloudy,0,760,149
2025-01-23,1,3,0,Cultural Fest,0,Breakfast,Chicken Rice,Meal,25,2000,33.5,Sunny,0,613,87
2025-01-23,1,3,0,Cultural Fest,1,Lunch,Chicken Rice,Meal,87,6960,33.5,Sunny,0,613,25
2025-01-23,1,3,0,Cultural Fest,2,Dinner,Chicken Rice,Meal,50,4000,33.5,Sunny,0,613,87
2025-01-24,1,4,0,None,0,Breakfast,Chicken Rice,Meal,23,1840,30.7,Sunny,0,531,50
2025-01-24,1,4,0,None,1,Lunch,Chicken Rice,Meal,99,7920,30.7,Sunny,0,531,23
2025-01-24,1,4,0,None,2,Dinner,Chicken Rice,Meal,52,4160,30.7,Sunny,0,531,99
2025-01-25,1,5,1,None,0,Breakfast,Chicken Rice,Meal,13,1040,28.0,Sunny,0,408,52
2025-01-25,1,5,1,None,1,Lunch,Chicken Rice,Meal,77,6160,28.0,Sunny,0,408,13
2025-01-25,1,5,1,None,2,Dinner,Chicken Rice,Meal,66,5280,28.0,Sunny,1,408,77
2025-01-26,1,6,1,Tech Meet,0,Breakfast,Chicken Rice,Meal,20,1600,29.2,Sunny,0,416,66
2025-01-26,1,6,1,Tech Meet,1,Lunch,Chicken Rice,Meal,90,7200,29.2,Sunny,0,416,20
2025-01-26,1,6,1,Tech Meet,2,Dinner,Chicken Rice,Meal,45,3600,29.2,Sunny,0,416,90
2025-01-27,1,0,0,None,0,Breakfast,Chicken Rice,Meal,29,2320,27.3,Sunny,0,574,45
2025-01-27,1,0,0,None,1,Lunch,Chicken Rice,Meal,145,11600,27.3,Sunny,1,574,29
2025-01-27,1,0,0,None,2,Dinner,Chicken Rice,Meal,95,7600,27.3,Sunny,0,574,145
2025-01-28,1,1,0,None,0,Breakfast,Chicken Rice,Meal,16,1280,29.8,Sunny,0,479,95
2025-01-28,1,1,0,None,1,Lunch,Chicken Rice,Meal,99,7920,29.8,Sunny,0,479,16
2025-01-28,1,1,0,None,2,Dinner,Chicken Rice,Meal,47,3760,29.8,Sunny,0,479,99
2025-01-29,1,2,0,None,0,Breakfast,Chicken Rice,Meal,19,1520,27.1,Sunny,0,581,47
2025-01-29,1,2,0,None,1,Lunch,Chicken Rice,Meal,74,5920,27.1,Sunny,0,581,19
2025-01-29,1,2,0,None,2,Dinner,Chicken Rice,Meal,91,7280,27.1,Sunny,0,581,74
2025-01-30,1,3,0,None,0,Breakfast,Chicken Rice,Meal,14,1120,33.5,Cloudy,0,555,91
2025-01-30,1,3,0,None,1,Lunch,Chicken Rice,Meal,59,4720,33.5,Cloudy,0,555,14
2025-01-30,1,3,0,None,2,Dinner,Chicken Rice,Meal,56,4480,33.5,Cloudy,0,555,59
2025-01-31,1,4,0,None,0,Breakfast,Chicken Rice,Meal,29,2320,26.88518680830845,Rainy,0,586,56
2025-01-31,1,4,0,None,1,Lunch,Chicken Rice,Meal,76,6080,26.88518680830845,Rainy,0,586,29
2025-01-31,1,4,0,None,2,Dinner,Chicken Rice,Meal,62,4960,26.88518680830845,Rainy,0,586,76
2025-02-01,2,5,1,None,0,Breakfast,Chicken Rice,Meal,16,1280,26.9,Sunny,0,471,62
2025-02-01,2,5,1,None,1,Lunch,Chicken Rice,Meal,74,5920,26.9,Sunny,0,471,16
2025-02-01,2,5,1,None,2,Dinner,Chicken Rice,Meal,53,4240,26.9,Sunny,1,471,74
2025-02-02,2,6,1,Cultural Fest,0,Breakfast,Chicken Rice,Meal,18,1440,31.8,Sunny,0,290,53
2025-02-02,2,6,1,Cultural Fest,1,Lunch,Chicken Rice,Meal,56,4480,31.8,Sunny,0,290,18
2025-02-02,2,6,1,Cultural Fest,2,Dinner,Chicken Rice,Meal,59,4720,31.8,Sunny,1,290,56
2025-02-03,2,0,0,None,0,Breakfast,Chicken Rice,Meal,17,1360,32.4,Sunny,0,419,59
2025-02-03,2,0,0,None,1,Lunch,Chicken Rice,Meal,88,7040,32.4,Sunny,0,419,17
2025-02-03,2,0,0,None,2,Dinner,Chicken Rice,Meal,39,3120,32.4,Sunny,0,419,88
2025-02-04,2,1,0,None,0,Breakfast,Chicken Rice,Meal,12,960,33.6,Cloudy,0,636,39
2025-02-04,2,1,0,None,1,Lunch,Chicken Rice,Meal,128,10240,33.6,Cloudy,0,636,12
2025-02-04,2,1,0,None,2,Dinner,Chicken Rice,Meal,93,7440,33.6,Cloudy,0,636,128
2025-02-05,2,2,0,None,0,Breakfast,Chicken Rice,Meal,33,2640,28.5,Sunny,0,705,93
2025-02-05,2,2,0,None,1,Lunch,Chicken Rice,Meal,117,9360,28.5,Sunny,0,705,33
2025-02-05,2,2,0,None,2,Dinner,Chicken Rice,Meal,65,5200,28.5,Sunny,0,705,117
2025-02-06,2,3,0,None,0,Breakfast,Chicken Rice,Meal,14,1120,33.3,Sunny,0,751,65
2025-02-06,2,3,0,None,1,Lunch,Chicken Rice,Meal,147,11760,33.3,Sunny,0,751,14
2025-02-06,2,3,0,None,2,Dinner,Chicken Rice,Meal,89,7120,33.3,Sunny,0,751,147
2025-02-07,2,4,0,None,0,Breakfast,Chicken Rice,Meal,10,800,21.90052725927578,Rainy,0,511,89
2025-02-07,2,4,0,None,1,Lunch,Chicken Rice,Meal,135,10800,21.90052725927578,Rainy,1,511,10
2025-02-07,2,4,0,None,2,Dinner,Chicken Rice,Meal,41,3280,21.90052725927578,Rainy,0,511,135
2025-02-08,2,5,1,None,0,Breakfast,Chicken Rice,Meal,22,1760,16.60933858509742,Rainy,0,423,41
2025-02-08,2,5,1,None,1,Lunch,Chicken Rice,Meal,85,6800,16.60933858509742,Rainy,0,423,22
2025-02-08,2,5,1,None,2,Dinner,Chicken Rice,Meal,49,3920,16.60933858509742,Rainy,0,423,85
2025-02-09,2,6,1,None,0,Breakfast,Chicken Rice,Meal,21,1680,25.2,Sunny,0,334,49
2025-02-09,2,6,1,None,1,Lunch,Chicken Rice,Meal,70,5600,25.2,Sunny,0,334,21
2025-02-09,2,6,1,None,2,Dinner,Chicken Rice,Meal,51,4080,25.2,Sunny,0,334,70
2025-02-10,2,0,0,None,0,Breakfast,Chicken Rice,Meal,21,1680,28.8,Sunny,0,588,51
2025-02-10,2,0,0,None,1,Lunch,Chicken Rice,Meal,136,10880,28.8,Sunny,0,588,21
2025-02-10,2,0,0,None,2,Dinner,Chicken Rice,Meal,50,4000,28.8,Sunny,1,588,136
2025-02-11,2,1,0,Cultural Fest,0,Breakfast,Chicken Rice,Meal,49,3920,17.590432122586883,Rainy,0,542,50
2025-02-11,2,1,0,Cultural Fest,1,Lunch,Chicken Rice,Meal,194,15520,17.590432122586883,Rainy,0,542,49
2025-02-11,2,1,0,Cultural Fest,2,Dinner,Chicken Rice,Meal,54,4320,17.590432122586883,Rainy,0,542,194
2025-02-12,2,2,0,None,0,Breakfast,Chicken Rice,Meal,10,800,32.2,Cloudy,0,605,54
2025-02-12,2,2,0,None,1,Lunch,Chicken Rice,Meal,139,11120,32.2,Cloudy,0,605,10
2025-02-12,2,2,0,None,2,Dinner,Chicken Rice,Meal,79,6320,32.2,Cloudy,1,605,139
2025-02-13,2,3,0,None,0,Breakfast,Chicken Rice,Meal,14,1120,33.0,Cloudy,0,625,79
2025-02-13,2,3,0,None,1,Lunch,Chicken Rice,Meal,141,11280,33.0,Cloudy,0,625,14
2025-02-13,2,3,0,None,2,Dinner,Chicken Rice,Meal,82,6560,33.0,Cloudy,0,625,141
2025-02-14,2,4,0,None,0,Breakfast,Chicken Rice,Meal,14,1120,27.8,Sunny,0,563,82
2025-02-14,2,4,0,None,1,Lunch,Chicken Rice,Meal,136,10880,27.8,Sunny,0,563,14
2025-02-14,2,4,0,None,2,Dinner,Chicken Rice,Meal,55,4400,27.8,Sunny,0,563,136
2025-02-15,2,5,1,None,0,Breakfast,Chicken Rice,Meal,15,1200,33.2,Sunny,0,346,55
2025-02-15,2,5,1,None,1,Lunch,Chicken Rice,Meal,61,4880,33.2,Sunny,0,346,15
2025-02-15,2,5,1,None,2,Dinner,Chicken Rice,Meal,49,3920,33.2,Sunny,0,346,61
2025-02-16,2,6,1,None,0,Breakfast,Chicken Rice,Meal,7,560,24.2,Sunny,0,353,49
2025-02-16,2,6,1,None,1,Lunch,Chicken Rice,Meal,52,4160,24.2,Sunny,0,353,7
2025-02-16,2,6,1,None,2,Dinner,Chicken Rice,Meal,28,2240,24.2,Sunny,1,353,52
2025-02-17,2,0,0,Cultural Fest,0,Breakfast,Chicken Rice,Meal,27,2160,29.5,Cloudy,0,694,28
2025-02-17,2,0,0,Cultural Fest,1,Lunch,Chicken Rice,Meal,128,10240,29.5,Cloudy,0,694,27
2025-02-17,2,0,0,Cultural Fest,2,Dinner,Chicken Rice,Meal,64,5120,29.5,Cloudy,0,694,128
2025-02-18,2,1,0,None,0,Breakfast,Chicken Rice,Meal,20,1600,34.4,Cloudy,1,401,64
2025-02-18,2,1,0,None,1,Lunch,Chicken Rice,Meal,63,5040,34.4,Cloudy,0,401,20
2025-02-18,2,1,0,None,2,Dinner,Chicken Rice,Meal,47,3760,34.4,Cloudy,0,401,63
2025-02-19,2,2,0,None,0,Breakfast,Chicken Rice,Meal,23,1840,28.6,Sunny,0,616,47
2025-02-19,2,2,0,None,1,Lunch,Chicken Rice,Meal,81,6480,28.6,Sunny,0,616,23
2025-02-19,2,2,0,None,2,Dinner,Chicken Rice,Meal,53,4240,28.6,Sunny,0,616,81
2025-02-20,2,3,0,None,0,Breakfast,Chicken Rice,Meal,42,3360,18.971729728747402,Rainy,0,691,53
2025-02-20,2,3,0,None,1,Lunch,Chicken Rice,Meal,83,6640,18.971729728747402,Rainy,0,691,42
2025-02-20,2,3,0,None,2,Dinner,Chicken Rice,Meal,87,6960,18.971729728747402,Rainy,0,691,83
2025-02-21,2,4,0,None,0,Breakfast,Chicken Rice,Meal,25,2000,28.96230917642439,Rainy,0,681,87
2025-02-21,2,4,0,None,1,Lunch,Chicken Rice,Meal,102,8160,28.96230917642439,Rainy,0,681,25
2025-02-21,2,4,0,None,2,Dinner,Chicken Rice,Meal,98,7840,28.96230917642439,Rainy,0,681,102
2025-02-22,2,5,1,None,0,Breakfast,Chicken Rice,Meal,15,1200,25.1,Sunny,0,285,98
2025-02-22,2,5,1,None,1,Lunch,Chicken Rice,Meal,46,3680,25.1,Sunny,0,285,15
2025-02-22,2,5,1,None,2,Dinner,Chicken Rice,Meal,42,3360,25.1,Sunny,0,285,46
2025-02-23,2,6,1,None,0,Breakfast,Chicken Rice,Meal,7,560,20.01340338398269,Rainy,0,316,42
2025-02-23,2,6,1,None,1,Lunch,Chicken Rice,Meal,66,5280,20.01340338398269,Rainy,0,316,7
2025-02-23,2,6,1,None,2,Dinner,Chicken Rice,Meal,22,1760,20.01340338398269,Rainy,0,316,66
2025-02-24,2,0,0,None,0,Breakfast,Chicken Rice,Meal,47,3760,30.5,Cloudy,0,782,22
2025-02-24,2,0,0,None,1,Lunch,Chicken Rice,Meal,163,13040,30.5,Cloudy,0,782,47
2025-02-24,2,0,0,None,2,Dinner,Chicken Rice,Meal,109,8720,30.5,Cloudy,0,782,163
2025-02-25,2,1,0,None,0,Breakfast,Chicken Rice,Meal,13,1040,24.1,Sunny,0,683,109
2025-02-25,2,1,0,None,1,Lunch,Chicken Rice,Meal,112,8960,24.1,Sunny,0,683,13
2025-02-25,2,1,0,None,2,Dinner,Chicken Rice,Meal,77,6160,24.1,Sunny,0,683,112
2025-02-26,2,2,0,None,0,Breakfast,Chicken Rice,Meal,32,2560,28.0,Sunny,1,686,77
2025-02-26,2,2,0,None,1,Lunch,Chicken Rice,Meal,111,8880,28.0,Sunny,0,686,32
2025-02-26,2,2,0,None,2,Dinner,Chicken Rice,Meal,102,8160,28.0,Sunny,0,686,111
2025-02-27,2,3,0,None,0,Breakfast,Chicken Rice,Meal,31,2480,29.7,Cloudy,0,449,102
2025-02-27,2,3,0,None,1,Lunch,Chicken Rice,Meal,76,6080,29.7,Cloudy,0,449,31
2025-02-27,2,3,0,None,2,Dinner,Chicken Rice,Meal,42,3360,29.7,Cloudy,0,449,76
2025-02-28,2,4,0,None,0,Breakfast,Chicken Rice,Meal,13,1040,21.91983333982972,Rainy,0,453,42
2025-02-28,2,4,0,None,1,Lunch,Chicken Rice,Meal,56,4480,21.91983333982972,Rainy,0,453,13
2025-02-28,2,4,0,None,2,Dinner,Chicken Rice,Meal,62,4960,21.91983333982972,Rainy,0,453,56
2025-03-01,3,5,1,None,0,Breakfast,Chicken Rice,Meal,12,960,21.0,Cloudy,0,364,62
2025-03-01,3,5,1,None,1,Lunch,Chicken Rice,Meal,86,6880,21.0,Cloudy,0,364,12
2025-03-01,3,5,1,None,2,Dinner,Chicken Rice,Meal,35,2800,21.0,Cloudy,0,364,86
2025-03-02,3,6,1,Cultural Fest,0,Breakfast,Chicken Rice,Meal,20,1600,30.8,Sunny,0,384,35
2025-03-02,3,6,1,Cultural Fest,1,Lunch,Chicken Rice,Meal,76,6080,30.8,Sunny,1,384,20
2025-03-02,3,6,1,Cultural Fest,2,Dinner,Chicken Rice,Meal,32,2560,30.8,Sunny,0,384,76
2025-03-03,3,0,0,None,0,Breakfast,Chicken Rice,Meal,38,3040,28.32186148015629,Rainy,0,789,32
2025-03-03,3,0,0,None,1,Lunch,Chicken Rice,Meal,185,14800,28.32186148015629,Rainy,0,789,38
2025-03-03,3,0,0,None,2,Dinner,Chicken Rice,Meal,115,9200,28.32186148015629,Rainy,0,789,185
2025-03-04,3,1,0,None,0,Breakfast,Chicken Rice,Meal,9,720,27.64919125890708,Rainy,0,431,115
2025-03-04,3,1,0,None,1,Lunch,Chicken Rice,Meal,89,7120,27.64919125890708,Rainy,0,431,9
2025-03-04,3,1,0,None,2,Dinner,Chicken Rice,Meal,38,3040,27.64919125890708,Rainy,0,431,89
2025-03-05,3,2,0,None,0,Breakfast,Chicken Rice,Meal,30,2400,23.8,Sunny,0,477,38
2025-03-05,3,2,0,None,1,Lunch,Chicken Rice,Meal,104,8320,23.8,Sunny,0,477,30
2025-03-05,3,2,0,None,2,Dinner,Chicken Rice,Meal,38,3040,23.8,Sunny,0,477,104
2025-03-06,3,3,0,None,0,Breakfast,Chicken Rice,Meal,13,1040,28.6,Sunny,0,498,38
2025-03-06,3,3,0,None,1,Lunch,Chicken Rice,Meal,82,6560,28.6,Sunny,0,498,13
2025-03-06,3,3,0,None,2,Dinner,Chicken Rice,Meal,55,4400,28.6,Sunny,0,498,82
2025-03-07,3,4,0,None,0,Breakfast,Chicken Rice,Meal,11,880,24.0,Cloudy,0,404,55
2025-03-07,3,4,0,None,1,Lunch,Chicken Rice,Meal,57,4560,24.0,Cloudy,1,404,11
2025-03-07,3,4,0,None,2,Dinner,Chicken Rice,Meal,30,2400,24.0,Cloudy,0,404,57
2025-03-08,3,5,1,Sports Day,0,Breakfast,Chicken Rice,Meal,18,1440,27.05003667362359,Rainy,0,264,30
2025-03-08,3,5,1,Sports Day,1,Lunch,Chicken Rice,Meal,45,3600,27.05003667362359,Rainy,0,264,18
2025-03-08,3,5,1,Sports Day,2,Dinner,Chicken Rice,Meal,29,2320,27.05003667362359,Rainy,0,264,45
2025-03-09,3,6,1,None,0,Breakfast,Chicken Rice,Meal,20,1600,24.5,Cloudy,1,304,29
2025-03-09,3,6,1,None,1,Lunch,Chicken Rice,Meal,51,4080,24.5,Cloudy,0,304,20
2025-03-09,3,6,1,None,2,Dinner,Chicken Rice,Meal,36,2880,24.5,Cloudy,0,304,51
2025-03-10,3,0,0,None,0,Breakfast,Chicken Rice,Meal,44,3520,31.8,Sunny,0,633,36
2025-03-10,3,0,0,None,1,Lunch,Chicken Rice,Meal,120,9600,31.8,Sunny,0,633,44
2025-03-10,3,0,0,None,2,Dinner,Chicken Rice,Meal,48,3840,31.8,Sunny,0,633,120
2025-03-11,3,1,0,None,0,Breakfast,Chicken Rice,Meal,12,960,25.0,Cloudy,1,417,48
2025-03-11,3,1,0,None,1,Lunch,Chicken Rice,Meal,44,3520,25.0,Cloudy,0,417,12
2025-03-11,3,1,0,None,2,Dinner,Chicken Rice,Meal,42,3360,25.0,Cloudy,0,417,44
2025-03-12,3,2,0,Cultural Fest,0,Breakfast,Chicken Rice,Meal,32,2560,32.9,Cloudy,0,609,42
2025-03-12,3,2,0,Cultural Fest,1,Lunch,Chicken Rice,Meal,136,10880,32.9,Cloudy,0,609,32
2025-03-12,3,2,0,Cultural Fest,2,Dinner,Chicken Rice,Meal,95,7600,32.9,Cloudy,0,609,136
2025-03-13,3,3,0,Cultural Fest,0,Breakfast,Chicken Rice,Meal,77,6160,27.5,Sunny,1,777,95
2025-03-13,3,3,0,Cultural Fest,1,Lunch,Chicken Rice,Meal,161,12880,27.5,Sunny,0,777,77
2025-03-13,3,3,0,Cultural Fest,2,Dinner,Chicken Rice,Meal,98,7840,27.5,Sunny,0,777,161
2025-03-14,3,4,0,None,0,Breakfast,Chicken Rice,Meal,42,3360,29.4,Sunny,0,772,98
2025-03-14,3,4,0,None,1,Lunch,Chicken Rice,Meal,167,13360,29.4,Sunny,0,772,42
2025-03-14,3,4,0,None,2,Dinner,Chicken Rice,Meal,114,9120,29.4,Sunny,0,772,167
2025-03-15,3,5,1,None,0,Breakfast,Chicken Rice,Meal,9,720,31.0,Cloudy,0,300,114
2025-03-15,3,5,1,None,1,Lunch,Chicken Rice,Meal,53,4240,31.0,Cloudy,0,300,9
2025-03-15,3,5,1,None,2,Dinner,Chicken Rice,Meal,34,2720,31.0,Cloudy,0,300,53
2025-03-16,3,6,1,None,0,Breakfast,Chicken Rice,Meal,10,800,24.0,Sunny,1,250,34
2025-03-16,3,6,1,None,1,Lunch,Chicken Rice,Meal,52,4160,24.0,Sunny,0,250,10
2025-03-16,3,6,1,None,2,Dinner,Chicken Rice,Meal,25,2000,24.0,Sunny,0,250,52
2025-03-17,3,0,0,None,0,Breakfast,Chicken Rice,Meal,13,1040,31.1,Sunny,0,439,25
2025-03-17,3,0,0,None,1,Lunch,Chicken Rice,Meal,56,4480,31.1,Sunny,0,439,13
2025-03-17,3,0,0,None,2,Dinner,Chicken Rice,Meal,49,3920,31.1,Sunny,0,439,56
2025-03-18,3,1,0,None,0,Breakfast,Chicken Rice,Meal,28,2240,31.5,Sunny,0,709,49
2025-03-18,3,1,0,None,1,Lunch,Chicken Rice,Meal,83,6640,31.5,Sunny,0,709,28
2025-03-18,3,1,0,None,2,Dinner,Chicken Rice,Meal,79,6320,31.5,Sunny,0,709,83
2025-03-19,3,2,0,None,0,Breakfast,Chicken Rice,Meal,13,1040,20.554169732256227,Rainy,0,608,79
2025-03-19,3,2,0,None,1,Lunch,Chicken Rice,Meal,75,6000,20.554169732256227,Rainy,1,608,13
2025-03-19,3,2,0,None,2,Dinner,Chicken Rice,Meal,93,7440,20.554169732256227,Rainy,0,608,75
2025-03-20,3,3,0,None,0,Breakfast,Chicken Rice,Meal,41,3280,33.6,Sunny,0,742,93
2025-03-20,3,3,0,None,1,Lunch,Chicken Rice,Meal,155,12400,33.6,Sunny,0,742,41
2025-03-20,3,3,0,None,2,Dinner,Chicken Rice,Meal,93,7440,33.6,Sunny,0,742,155
2025-03-21,3,4,0,None,0,Breakfast,Chicken Rice,Meal,32,2560,23.9,Sunny,0,773,93
2025-03-21,3,4,0,None,1,Lunch,Chicken Rice,Meal,157,12560,23.9,Sunny,0,773,32
2025-03-21,3,4,0,None,2,Dinner,Chicken Rice,Meal,107,8560,23.9,Sunny,1,773,157
2025-03-22,3,5,1,None,0,Breakfast,Chicken Rice,Meal,28,2240,23.9,Cloudy,0,528,107
2025-03-22,3,5,1,None,1,Lunch,Chicken Rice,Meal,58,4640,23.9,Cloudy,0,528,28
2025-03-22,3,5,1,None,2,Dinner,Chicken Rice,Meal,58,4640,23.9,Cloudy,0,528,58
2025-03-23,3,6,1,None,0,Breakfast,Chicken Rice,Meal,18,1440,33.3,Cloudy,0,320,58
2025-03-23,3,6,1,None,1,Lunch,Chicken Rice,Meal,68,5440,33.3,Cloudy,0,320,18
2025-03-23,3,6,1,None,2,Dinner,Chicken Rice,Meal,23,1840,33.3,Cloudy,0,320,68
