date,building,energy_kwh,temp_c,humidity_pct,occupancy_estimate,weekday,holiday_flag,outside_temp_c,rainfall_mm,building_area_sqm,floor_count,equipment_factor,class_event_count
2024-01-16,Academic Block,193.09,36.7,77.8,170,1,0,33.7,14.3,3000,3,1.0,3
2024-01-16,Library,198.62,31.3,70.2,175,1,0,33.7,14.3,2000,2,1.2,3
2024-01-16,Hostel,212.67,35.7,53.2,223,1,0,33.7,14.3,5000,4,1.1,0
2024-01-16,Admin,151.05,23.4,50.0,106,1,0,33.7,14.3,1500,2,0.9,1
2024-01-16,Lab Block,217.51,34.4,69.7,211,1,0,33.7,14.3,2500,3,1.5,1
2024-01-17,Academic Block,121.09,34.1,31.3,63,2,0,21.1,16.7,3000,3,1.0,1
2024-01-17,Library,155.16,32.9,82.8,114,2,0,21.1,16.7,2000,2,1.2,1
2024-01-17,Hostel,192.89,23.3,75.6,205,2,0,21.1,16.7,5000,4,1.1,2
2024-01-17,Admin,145.45,21.6,45.1,117,2,0,21.1,16.7,1500,2,0.9,1
2024-01-17,Lab Block,153.18,21.6,42.2,114,2,0,21.1,16.7,2500,3,1.5,3
2024-01-18,Academic Block,166.35,36.8,73.2,135,3,0,16.7,9.4,3000,3,1.0,4
2024-01-18,Library,133.84,32.1,83.7,57,3,0,16.7,9.4,2000,2,1.2,1
2024-01-18,Hostel,187.12,30.1,62.8,198,3,0,16.7,9.4,5000,4,1.1,3
2024-01-18,Admin,121.26,21.2,32.7,71,3,0,16.7,9.4,1500,2,0.9,0
2024-01-18,Lab Block,146.79,33.1,51.2,85,3,0,16.7,9.4,2500,3,1.5,4
2024-01-19,Academic Block,212.27,21.2,86.7,211,4,0,21.1,8.7,3000,3,1.0,4
2024-01-19,Library,134.31,32.2,70.1,77,4,0,21.1,8.7,2000,2,1.2,0
2024-01-19,Hostel,196.08,37.3,35.4,185,4,0,21.1,8.7,5000,4,1.1,2
2024-01-19,Admin,145.23,25.4,81.7,96,4,0,21.1,8.7,1500,2,0.9,1
2024-01-19,Lab Block,153.78,29.0,67.9,133,4,0,21.1,8.7,2500,3,1.5,0
2024-01-20,Academic Block,135.81,24.6,66.9,103,5,1,17.7,5.7,3000,3,1.0,2
2024-01-20,Library,193.75,20.6,35.4,227,5,1,17.7,5.7,2000,2,1.2,3
2024-01-20,Hostel,182.61,28.9,51.6,180,5,1,17.7,5.7,5000,4,1.1,0
2024-01-20,Admin,160.89,24.5,39.4,163,5,1,17.7,5.7,1500,2,0.9,2
2024-01-20,Lab Block,180.25,33.5,43.4,189,5,1,17.7,5.7,2500,3,1.5,0
2024-01-21,Academic Block,172.48,25.8,49.8,157,6,1,30.8,14.1,3000,3,1.0,4
2024-01-21,Library,235.64,31.1,44.6,248,6,1,30.8,14.1,2000,2,1.2,4
2024-01-21,Hostel,210.08,30.1,71.9,198,6,1,30.8,14.1,5000,4,1.1,4
2024-01-21,Admin,229.51,32.6,87.5,241,6,1,30.8,14.1,1500,2,0.9,3
2024-01-21,Lab Block,163.0,35.3,70.2,140,6,1,30.8,14.1,2500,3,1.5,0
2024-01-22,Academic Block,171.31,30.3,48.4,156,0,0,15.7,19.1,3000,3,1.0,1
2024-01-22,Library,115.53,26.6,43.7,36,0,0,15.7,19.1,2000,2,1.2,3
2024-01-22,Hostel,139.19,25.3,62.9,93,0,0,15.7,19.1,5000,4,1.1,1
2024-01-22,Admin,140.49,36.5,83.9,83,0,0,15.7,19.1,1500,2,0.9,1
2024-01-22,Lab Block,139.24,26.4,76.5,80,0,0,15.7,19.1,2500,3,1.5,2
2024-01-23,Academic Block,108.17,27.2,69.9,11,1,0,34.3,7.8,3000,3,1.0,2
2024-01-23,Library,211.75,32.6,52.4,239,1,0,34.3,7.8,2000,2,1.2,1
2024-01-23,Hostel,170.59,32.2,43.3,152,1,0,34.3,7.8,5000,4,1.1,3
2024-01-23,Admin,190.09,27.4,89.5,186,1,0,34.3,7.8,1500,2,0.9,2
2024-01-23,Lab Block,171.9,23.4,73.0,132,1,0,34.3,7.8,2500,3,1.5,3
2024-01-24,Academic Block,97.87,21.9,62.0,11,2,0,18.0,8.1,3000,3,1.0,0
2024-01-24,Library,210.79,30.2,73.4,218,2,0,18.0,8.1,2000,2,1.2,4
2024-01-24,Hostel,191.96,21.8,61.4,174,2,0,18.0,8.1,5000,4,1.1,4
2024-01-24,Admin,177.04,28.1,37.3,183,2,0,18.0,8.1,1500,2,0.9,0
2024-01-24,Lab Block,94.45,21.4,71.7,12,2,0,18.0,8.1,2500,3,1.5,1
2024-01-25,Academic Block,127.49,26.4,31.8,90,3,0,32.2,12.3,3000,3,1.0,1
2024-01-25,Library,133.19,30.1,34.6,71,3,0,32.2,12.3,2000,2,1.2,2
2024-01-25,Hostel,135.03,36.3,53.9,49,3,0,32.2,12.3,5000,4,1.1,4
2024-01-25,Admin,121.4,33.7,76.2,22,3,0,32.2,12.3,1500,2,0.9,3
2024-01-25,Lab Block,165.61,37.2,34.7,150,3,0,32.2,12.3,2500,3,1.5,0
2024-01-26,Academic Block,170.43,24.6,71.9,140,4,0,23.0,14.8,3000,3,1.0,0
2024-01-26,Library,110.01,23.3,65.7,23,4,0,23.0,14.8,2000,2,1.2,1
2024-01-26,Hostel,209.48,23.6,43.1,227,4,0,23.0,14.8,5000,4,1.1,2
2024-01-26,Admin,140.78,33.7,53.3,101,4,0,23.0,14.8,1500,2,0.9,1
2024-01-26,Lab Block,211.34,36.2,40.6,240,4,0,23.0,14.8,2500,3,1.5,0
2024-01-27,Academic Block,183.75,30.6,80.6,170,5,1,34.8,3.9,3000,3,1.0,1
2024-01-27,Library,117.64,21.4,51.7,24,5,1,34.8,3.9,2000,2,1.2,4
2024-01-27,Hostel,195.91,33.5,56.2,194,5,1,34.8,3.9,5000,4,1.1,3
2024-01-27,Admin,154.33,24.7,59.2,119,5,1,34.8,3.9,1500,2,0.9,2
2024-01-27,Lab Block,150.15,28.9,89.2,81,5,1,34.8,3.9,2500,3,1.5,1
2024-01-28,Academic Block,205.32,23.6,63.5,238,6,1,19.8,9.3,3000,3,1.0,3
2024-01-28,Library,152.4,34.7,37.7,122,6,1,19.8,9.3,2000,2,1.2,1
2024-01-28,Hostel,205.67,27.8,73.5,229,6,1,19.8,9.3,5000,4,1.1,1
2024-01-28,Admin,206.81,20.9,76.1,211,6,1,19.8,9.3,1500,2,0.9,2
2024-01-28,Lab Block,130.52,27.1,73.1,53,6,1,19.8,9.3,2500,3,1.5,3
2024-01-29,Academic Block,152.36,29.0,66.5,124,0,0,25.2,14.5,3000,3,1.0,2
2024-01-29,Library,132.76,20.3,67.5,78,0,0,25.2,14.5,2000,2,1.2,1
2024-01-29,Hostel,133.18,34.5,63.0,65,0,0,25.2,14.5,5000,4,1.1,0
2024-01-29,Admin,125.42,24.9,74.0,32,0,0,25.2,14.5,1500,2,0.9,4
2024-01-29,Lab Block,205.15,23.6,89.4,200,0,0,25.2,14.5,2500,3,1.5,4
2024-01-30,Academic Block,136.05,33.2,71.6,78,1,0,19.0,0.3,3000,3,1.0,0
2024-01-30,Library,122.24,30.7,52.0,61,1,0,19.0,0.3,2000,2,1.2,0
2024-01-30,Hostel,156.27,28.9,68.5,112,1,0,19.0,0.3,5000,4,1.1,3
2024-01-30,Admin,107.35,28.1,57.7,22,1,0,19.0,0.3,1500,2,0.9,1
2024-01-30,Lab Block,101.84,31.3,73.0,14,1,0,19.0,0.3,2500,3,1.5,1
2024-01-31,Academic Block,222.7,34.3,88.0,203,2,0,33.4,3.8,3000,3,1.0,4
2024-01-31,Library,190.79,31.7,43.0,197,2,0,33.4,3.8,2000,2,1.2,1
2024-01-31,Hostel,161.54,20.1,70.9,119,2,0,33.4,3.8,5000,4,1.1,1
2024-01-31,Admin,168.22,26.5,58.8,159,2,0,33.4,3.8,1500,2,0.9,1
2024-01-31,Lab Block,206.8,33.0,75.3,207,2,0,33.4,3.8,2500,3,1.5,0
2024-02-01,Academic Block,202.0,31.2,58.6,233,3,0,22.0,15.4,3000,3,1.0,0
2024-02-01,Library,158.59,33.6,81.9,94,3,0,22.0,15.4,2000,2,1.2,3
2024-02-01,Hostel,168.57,27.3,88.9,139,3,0,22.0,15.4,5000,4,1.1,0
2024-02-01,Admin,199.34,22.9,88.8,226,3,0,22.0,15.4,1500,2,0.9,1
2024-02-01,Lab Block,132.22,33.7,76.5,72,3,0,22.0,15.4,2500,3,1.5,0
2024-02-02,Academic Block,157.01,28.5,44.6,142,4,0,24.8,2.2,3000,3,1.0,2
2024-02-02,Library,211.11,24.1,34.6,239,4,0,24.8,2.2,2000,2,1.2,2
2024-02-02,Hostel,135.14,27.1,62.1,55,4,0,24.8,2.2,5000,4,1.1,3
2024-02-02,Admin,143.61,23.2,47.7,124,4,0,24.8,2.2,1500,2,0.9,0
2024-02-02,Lab Block,155.78,29.1,38.1,117,4,0,24.8,2.2,2500,3,1.5,4
2024-02-03,Academic Block,153.9,30.8,32.0,116,5,1,33.5,19.9,3000,3,1.0,3
2024-02-03,Library,177.43,27.3,66.4,135,5,1,33.5,19.9,2000,2,1.2,2
2024-02-03,Hostel,111.15,29.6,71.6,27,5,1,33.5,19.9,5000,4,1.1,3
2024-02-03,Admin,168.99,24.1,36.4,153,5,1,33.5,19.9,1500,2,0.9,3
2024-02-03,Lab Block,135.51,27.5,34.4,64,5,1,33.5,19.9,2500,3,1.5,4
2024-02-04,Academic Block,178.45,29.8,86.2,162,6,1,23.3,15.9,3000,3,1.0,4
2024-02-04,Library,164.89,27.0,38.7,130,6,1,23.3,15.9,2000,2,1.2,4
2024-02-04,Hostel,190.78,21.2,57.9,177,6,1,23.3,15.9,5000,4,1.1,2
2024-02-04,Admin,135.71,25.9,89.0,79,6,1,23.3,15.9,1500,2,0.9,4
2024-02-04,Lab Block,197.56,25.6,83.1,212,6,1,23.3,15.9,2500,3,1.5,0
2024-02-05,Academic Block,196.26,30.6,49.9,191,0,0,19.0,6.2,3000,3,1.0,2
2024-02-05,Library,105.55,32.6,38.9,42,0,0,19.0,6.2,2000,2,1.2,0
2024-02-05,Hostel,107.93,28.2,61.6,18,0,0,19.0,6.2,5000,4,1.1,0
2024-02-05,Admin,132.07,36.7,30.5,96,0,0,19.0,6.2,1500,2,0.9,3
2024-02-05,Lab Block,215.0,24.8,60.9,234,0,0,19.0,6.2,2500,3,1.5,1
2024-02-06,Academic Block,216.83,35.8,81.0,233,1,0,25.4,16.4,3000,3,1.0,0
2024-02-06,Library,122.06,32.3,60.3,53,1,0,25.4,16.4,2000,2,1.2,3
2024-02-06,Hostel,120.32,35.3,38.4,38,1,0,25.4,16.4,5000,4,1.1,4
2024-02-06,Admin,109.58,32.1,86.5,14,1,0,25.4,16.4,1500,2,0.9,2
2024-02-06,Lab Block,151.04,36.8,58.7,117,1,0,25.4,16.4,2500,3,1.5,1
2024-02-07,Academic Block,174.12,34.3,41.4,148,2,0,21.7,13.9,3000,3,1.0,1
2024-02-07,Library,187.21,36.3,77.4,178,2,0,21.7,13.9,2000,2,1.2,2
2024-02-07,Hostel,140.15,31.4,68.6,93,2,0,21.7,13.9,5000,4,1.1,0
2024-02-07,Admin,102.86,32.5,87.1,24,2,0,21.7,13.9,1500,2,0.9,0
2024-02-07,Lab Block,103.67,30.8,37.8,31,2,0,21.7,13.9,2500,3,1.5,2
2024-02-08,Academic Block,205.81,21.3,42.4,228,3,0,24.8,12.4,3000,3,1.0,4
2024-02-08,Library,150.59,32.2,61.7,75,3,0,24.8,12.4,2000,2,1.2,4
2024-02-08,Hostel,195.56,24.5,51.3,203,3,0,24.8,12.4,5000,4,1.1,2
2024-02-08,Admin,116.93,32.7,81.6,23,3,0,24.8,12.4,1500,2,0.9,2
2024-02-08,Lab Block,214.38,30.8,69.7,210,3,0,24.8,12.4,2500,3,1.5,2
2024-02-09,Academic Block,163.96,37.8,64.9,125,4,0,30.6,18.5,3000,3,1.0,2
2024-02-09,Library,190.54,34.2,31.7,211,4,0,30.6,18.5,2000,2,1.2,1
2024-02-09,Hostel,144.09,33.2,60.1,108,4,0,30.6,18.5,5000,4,1.1,1
2024-02-09,Admin,119.09,33.2,49.3,54,4,0,30.6,18.5,1500,2,0.9,3
2024-02-09,Lab Block,171.77,36.8,86.8,121,4,0,30.6,18.5,2500,3,1.5,4
2024-02-10,Academic Block,212.28,30.7,80.4,229,5,1,32.2,10.0,3000,3,1.0,1
2024-02-10,Library,206.96,34.7,78.8,195,5,1,32.2,10.0,2000,2,1.2,2
2024-02-10,Hostel,122.95,22.2,60.4,67,5,1,32.2,10.0,5000,4,1.1,0
2024-02-10,Admin,103.27,21.3,58.5,21,5,1,32.2,10.0,1500,2,0.9,2
2024-02-10,Lab Block,142.68,20.8,51.7,98,5,1,32.2,10.0,2500,3,1.5,4
2024-02-11,Academic Block,94.2,24.3,43.3,29,6,1,27.2,16.6,3000,3,1.0,1
2024-02-11,Library,219.26,30.9,86.9,230,6,1,27.2,16.6,2000,2,1.2,2
2024-02-11,Hostel,150.94,31.6,63.3,93,6,1,27.2,16.6,5000,4,1.1,1
2024-02-11,Admin,211.77,33.4,59.8,233,6,1,27.2,16.6,1500,2,0.9,0
2024-02-11,Lab Block,182.42,28.2,57.5,181,6,1,27.2,16.6,2500,3,1.5,1
2024-02-12,Academic Block,157.45,25.0,61.4,121,0,0,24.8,16.5,3000,3,1.0,4
2024-02-12,Library,149.28,22.6,32.8,133,0,0,24.8,16.5,2000,2,1.2,3
2024-02-12,Hostel,197.9,21.1,78.3,208,0,0,24.8,16.5,5000,4,1.1,0
2024-02-12,Admin,145.49,35.0,41.6,131,0,0,24.8,16.5,1500,2,0.9,0
2024-02-12,Lab Block,141.84,36.5,34.9,91,0,0,24.8,16.5,2500,3,1.5,1
2024-02-13,Academic Block,222.74,37.8,69.0,233,1,0,24.0,19.5,3000,3,1.0,4
2024-02-13,Library,172.54,29.5,60.9,157,1,0,24.0,19.5,2000,2,1.2,0
2024-02-13,Hostel,199.62,34.6,68.9,189,1,0,24.0,19.5,5000,4,1.1,3
2024-02-13,Admin,198.27,35.7,42.9,180,1,0,24.0,19.5,1500,2,0.9,4
2024-02-13,Lab Block,188.74,28.5,45.2,169,1,0,24.0,19.5,2500,3,1.5,1
2024-02-14,Academic Block,158.78,29.2,41.0,150,2,0,34.0,14.0,3000,3,1.0,1
2024-02-14,Library,225.22,20.3,82.7,239,2,0,34.0,14.0,2000,2,1.2,3
2024-02-14,Hostel,206.13,38.0,87.2,186,2,0,34.0,14.0,5000,4,1.1,4
2024-02-14,Admin,177.43,22.7,60.9,173,2,0,34.0,14.0,1500,2,0.9,1
2024-02-14,Lab Block,123.7,37.0,50.5,12,2,0,34.0,14.0,2500,3,1.5,4
2024-02-15,Academic Block,176.54,33.2,81.9,167,3,0,17.0,2.8,3000,3,1.0,1
2024-02-15,Library,104.96,26.3,50.6,34,3,0,17.0,2.8,2000,2,1.2,2
2024-02-15,Hostel,118.14,21.7,38.2,69,3,0,17.0,2.8,5000,4,1.1,1
2024-02-15,Admin,208.68,22.4,50.4,222,3,0,17.0,2.8,1500,2,0.9,3
2024-02-15,Lab Block,179.61,31.6,40.6,181,3,0,17.0,2.8,2500,3,1.5,0
2024-02-16,Academic Block,166.0,27.2,50.6,133,4,0,16.5,15.1,3000,3,1.0,3
2024-02-16,Library,190.52,31.3,77.3,187,4,0,16.5,15.1,2000,2,1.2,2
2024-02-16,Hostel,167.14,20.8,89.2,165,4,0,16.5,15.1,5000,4,1.1,0
2024-02-16,Admin,135.48,26.7,74.3,69,4,0,16.5,15.1,1500,2,0.9,4
2024-02-16,Lab Block,174.87,27.5,37.1,154,4,0,16.5,15.1,2500,3,1.5,2
2024-02-17,Academic Block,103.99,22.9,68.4,22,5,1,27.2,2.4,3000,3,1.0,2
2024-02-17,Library,117.35,30.7,40.2,28,5,1,27.2,2.4,2000,2,1.2,3
2024-02-17,Hostel,223.41,27.2,79.0,222,5,1,27.2,2.4,5000,4,1.1,4
2024-02-17,Admin,168.77,25.1,41.1,158,5,1,27.2,2.4,1500,2,0.9,0
2024-02-17,Lab Block,137.68,35.0,30.8,59,5,1,27.2,2.4,2500,3,1.5,4
2024-02-18,Academic Block,116.48,27.7,31.1,62,6,1,16.6,11.3,3000,3,1.0,3
2024-02-18,Library,163.41,22.0,67.9,157,6,1,16.6,11.3,2000,2,1.2,0
2024-02-18,Hostel,183.04,36.2,58.0,158,6,1,16.6,11.3,5000,4,1.1,3
2024-02-18,Admin,215.56,36.4,31.5,237,6,1,16.6,11.3,1500,2,0.9,4
2024-02-18,Lab Block,201.39,25.7,76.3,184,6,1,16.6,11.3,2500,3,1.5,2
2024-02-19,Academic Block,212.7,37.2,57.5,249,0,0,20.3,4.5,3000,3,1.0,1
2024-02-19,Library,155.42,32.1,78.5,135,0,0,20.3,4.5,2000,2,1.2,0
2024-02-19,Hostel,184.22,24.8,66.4,169,0,0,20.3,4.5,5000,4,1.1,4
2024-02-19,Admin,215.64,31.3,80.9,231,0,0,20.3,4.5,1500,2,0.9,0
2024-02-19,Lab Block,183.32,24.2,70.6,155,0,0,20.3,4.5,2500,3,1.5,2
2024-02-20,Academic Block,123.4,37.1,51.9,57,1,0,18.5,18.1,3000,3,1.0,2
2024-02-20,Library,165.38,20.5,85.2,148,1,0,18.5,18.1,2000,2,1.2,0
2024-02-20,Hostel,204.5,34.2,72.9,219,1,0,18.5,18.1,5000,4,1.1,4
2024-02-20,Admin,209.04,37.4,50.5,230,1,0,18.5,18.1,1500,2,0.9,2
2024-02-20,Lab Block,182.42,26.4,51.3,193,1,0,18.5,18.1,2500,3,1.5,0
2024-02-21,Academic Block,121.43,36.6,44.2,65,2,0,24.4,16.2,3000,3,1.0,0
2024-02-21,Library,213.45,29.9,86.6,233,2,0,24.4,16.2,2000,2,1.2,1
2024-02-21,Hostel,181.53,22.7,77.5,189,2,0,24.4,16.2,5000,4,1.1,1
2024-02-21,Admin,94.06,25.4,60.9,14,2,0,24.4,16.2,1500,2,0.9,3
2024-02-21,Lab Block,172.27,37.2,87.2,111,2,0,24.4,16.2,2500,3,1.5,3
2024-02-22,Academic Block,169.14,24.7,59.5,174,3,0,26.6,4.7,3000,3,1.0,0
2024-02-22,Library,186.65,22.9,50.0,169,3,0,26.6,4.7,2000,2,1.2,3
2024-02-22,Hostel,199.0,25.8,35.3,225,3,0,26.6,4.7,5000,4,1.1,2
2024-02-22,Admin,135.1,29.6,86.5,56,3,0,26.6,4.7,1500,2,0.9,1
2024-02-22,Lab Block,129.68,27.1,68.0,56,3,0,26.6,4.7,2500,3,1.5,1
2024-02-23,Academic Block,171.56,35.9,35.3,158,4,0,27.3,14.3,3000,3,1.0,2
2024-02-23,Library,102.11,36.4,87.4,10,4,0,27.3,14.3,2000,2,1.2,1
2024-02-23,Hostel,190.08,36.8,47.7,189,4,0,27.3,14.3,5000,4,1.1,4
2024-02-23,Admin,106.04,23.8,52.2,37,4,0,27.3,14.3,1500,2,0.9,2
2024-02-23,Lab Block,157.42,35.9,33.3,114,4,0,27.3,14.3,2500,3,1.5,2
2024-02-24,Academic Block,145.17,34.1,40.0,96,5,1,28.2,7.4,3000,3,1.0,0
2024-02-24,Library,172.7,33.6,61.0,163,5,1,28.2,7.4,2000,2,1.2,1
2024-02-24,Hostel,196.73,35.1,77.2,162,5,1,28.2,7.4,5000,4,1.1,3
2024-02-24,Admin,199.38,35.8,68.7,198,5,1,28.2,7.4,1500,2,0.9,1
2024-02-24,Lab Block,158.47,30.4,53.7,112,5,1,28.2,7.4,2500,3,1.5,0
2024-02-25,Academic Block,222.62,37.4,66.1,237,6,1,34.8,2.7,3000,3,1.0,1
2024-02-25,Library,226.26,30.3,72.2,222,6,1,34.8,2.7,2000,2,1.2,3
2024-02-25,Hostel,170.72,21.4,87.7,134,6,1,34.8,2.7,5000,4,1.1,3
2024-02-25,Admin,151.24,26.5,62.3,127,6,1,34.8,2.7,1500,2,0.9,0
2024-02-25,Lab Block,198.86,37.2,36.6,211,6,1,34.8,2.7,2500,3,1.5,2
2024-02-26,Academic Block,137.12,26.6,57.1,112,0,0,18.0,14.0,3000,3,1.0,0
2024-02-26,Library,202.13,27.9,78.0,225,0,0,18.0,14.0,2000,2,1.2,1
2024-02-26,Hostel,208.43,33.0,41.2,232,0,0,18.0,14.0,5000,4,1.1,2
